friends_count,boto_prob,followers_count,time
42132,0.8,735275,2023/3/22
5001,0.84,4519,2023/1/13
394,0.5,325125,2023/7/10
120,,4,2023/4/2
4158,0.92,4311,2023/7/20
53,,11,2023/10/18
2898,0.77,1229,2023/5/18
12142,0.89,11172,2023/3/11
65,,34,2023/10/10
26226,0.92,25701,2023/4/17
63411,0.8,230479,2023/2/9
29,,24,2023/8/21
0,,0,2023/10/15
509,,144,2023/10/6
121,,21,2023/4/12
3720,0.77,987,2023/7/23
760,,216,2023/8/5
34,,12,2023/3/8
480,,120,2023/9/27
915,,104,2023/4/11
146,,14,2023/6/26
351,,178,2023/4/25
707,,30,2022/12/25
0,,0,2023/5/25
1725,0.28,977835,2023/8/21
291,0.78,653,2023/8/23
222,,4,2023/7/25
1393,0.8,1083235,2023/8/20
379,,82,2022/12/11
647,,559,2023/2/7
8432,1,8713,2023/2/2
128,,22,2023/7/1
191,,39,2023/7/16
14209,1,14367,2023/8/10
4998,0.77,556,2023/10/3
2047,0.66,26118,2023/10/6
11,0.74,206,2023/6/6
4685,,2631,2023/3/9
862,,1258,2023/7/12
2196,0.6,293758,2023/3/14
201,,125,2023/7/6
1103,,702,2023/8/17
261,,26,2023/2/17
29,0.8,13526897,2023/4/26
2726,,35734,2023/3/24
367,,13886,2023/7/5
33,,3,2023/10/7
3914,0.83,1855,2023/5/2
1653,0.79,2599243,2023/6/15
3778,,3884,2023/7/20
1302,,1494,2023/9/23
216,,16,2023/8/16
569,0.8,21129,2023/2/14
199,,121,2023/8/1
26780,0.9,35755,2023/6/16
48,,1,2023/4/14
49,,26,2023/9/20
83,,52,2023/3/11
27383,,26234,2023/6/20
23600,,30420,2022/12/27
33933,,35765,2023/4/2
690,0.45,158117,2023/3/15
233,,187,2023/7/4
